CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/ga/cart_run_ga.py
MEM 266.492188 1706233177.8955
MEM 266.492188 1706233177.9978
MEM 266.492188 1706233178.0998
MEM 266.492188 1706233178.2030
MEM 266.492188 1706233178.3050
MEM 266.492188 1706233178.4075
MEM 266.492188 1706233178.5127
MEM 266.492188 1706233178.6179
MEM 266.492188 1706233178.7209
MEM 266.492188 1706233178.8261
MEM 266.492188 1706233178.9268
MEM 266.492188 1706233179.0295
MEM 266.492188 1706233179.1348
MEM 266.492188 1706233179.2400
MEM 266.492188 1706233179.3452
MEM 266.492188 1706233179.4504
MEM 266.492188 1706233179.5555
MEM 266.492188 1706233179.6607
MEM 266.492188 1706233179.7660
MEM 266.492188 1706233179.8700
MEM 266.492188 1706233179.9750
MEM 266.492188 1706233180.0791
MEM 266.492188 1706233180.1843
MEM 266.492188 1706233180.2885
MEM 266.492188 1706233180.3892
MEM 266.492188 1706233180.4895
MEM 266.492188 1706233180.5947
MEM 266.492188 1706233180.6971
MEM 266.492188 1706233180.8023
MEM 266.492188 1706233180.9038
MEM 266.492188 1706233181.0086
MEM 266.492188 1706233181.1138
MEM 266.492188 1706233181.2190
MEM 266.492188 1706233181.3242
MEM 266.492188 1706233181.4249
MEM 266.492188 1706233181.5301
MEM 266.492188 1706233181.6353
MEM 266.496094 1706233181.7386
MEM 266.496094 1706233181.8438
MEM 266.496094 1706233181.9440
MEM 266.496094 1706233182.0492
MEM 266.496094 1706233182.1545
MEM 266.496094 1706233182.2597
MEM 266.496094 1706233182.3649
MEM 266.496094 1706233182.4691
MEM 266.496094 1706233182.5720
MEM 266.496094 1706233182.6730
MEM 266.496094 1706233182.7750
MEM 266.496094 1706233182.8802
MEM 266.496094 1706233182.9854
MEM 266.496094 1706233183.0901
MEM 266.496094 1706233183.1954
MEM 266.496094 1706233183.2977
MEM 266.496094 1706233183.4008
MEM 266.496094 1706233183.5035
MEM 266.496094 1706233183.6088
MEM 266.496094 1706233183.7140
MEM 266.496094 1706233183.8179
MEM 266.496094 1706233183.9231
MEM 266.496094 1706233184.0251
MEM 266.496094 1706233184.1254
MEM 266.496094 1706233184.2278
MEM 266.496094 1706233184.3294
MEM 266.496094 1706233184.4346
MEM 266.496094 1706233184.5353
MEM 266.496094 1706233184.6406
MEM 266.496094 1706233184.7453
MEM 266.496094 1706233184.8485
MEM 266.496094 1706233184.9537
MEM 266.496094 1706233185.0542
MEM 266.496094 1706233185.1594
MEM 266.496094 1706233185.2609
MEM 266.496094 1706233185.3653
MEM 266.496094 1706233185.4698
MEM 266.496094 1706233185.5750
MEM 266.496094 1706233185.6803
MEM 266.496094 1706233185.7855
MEM 266.496094 1706233185.8887
MEM 266.496094 1706233185.9899
MEM 266.496094 1706233186.0901
MEM 266.496094 1706233186.1939
MEM 266.496094 1706233186.2982
MEM 266.496094 1706233186.4008
MEM 266.496094 1706233186.5035
MEM 266.496094 1706233186.6087
MEM 266.496094 1706233186.7139
MEM 266.496094 1706233186.8179
MEM 266.496094 1706233186.9232
MEM 266.496094 1706233187.0264
MEM 266.496094 1706233187.1316
MEM 266.496094 1706233187.2333
MEM 266.496094 1706233187.3385
MEM 266.496094 1706233187.4437
MEM 266.496094 1706233187.5489
MEM 266.496094 1706233187.6541
MEM 266.496094 1706233187.7583
MEM 266.496094 1706233187.8593
MEM 266.496094 1706233187.9603
MEM 266.496094 1706233188.0622
MEM 266.496094 1706233188.1659
MEM 266.496094 1706233188.2708
