CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/dqn/cartpole_dqn.py
MEM 330.554688 1706089568.7195
MEM 331.156250 1706089568.8251
MEM 331.207031 1706089568.9267
MEM 331.234375 1706089569.0279
MEM 331.234375 1706089569.1318
MEM 331.250000 1706089569.2347
MEM 331.253906 1706089569.3350
MEM 331.316406 1706089569.4376
MEM 331.316406 1706089569.5422
MEM 331.621094 1706089569.6470
MEM 331.687500 1706089569.7498
MEM 332.054688 1706089569.8597
MEM 331.980469 1706089569.9604
MEM 331.980469 1706089570.0612
MEM 331.996094 1706089570.1646
MEM 332.425781 1706089570.2655
MEM 332.429688 1706089570.3703
MEM 332.921875 1706089570.4712
MEM 333.187500 1706089570.5734
MEM 333.140625 1706089570.6776
MEM 333.171875 1706089570.7874
MEM 333.242188 1706089570.8920
MEM 333.242188 1706089570.9935
MEM 333.296875 1706089571.0958
MEM 333.296875 1706089571.1987
MEM 333.296875 1706089571.3037
MEM 333.296875 1706089571.4042
MEM 333.343750 1706089571.5046
MEM 333.343750 1706089571.6086
MEM 333.523438 1706089571.7155
MEM 333.523438 1706089571.8198
MEM 333.910156 1706089571.9246
MEM 334.242188 1706089572.0285
MEM 334.246094 1706089572.1310
MEM 334.679688 1706089572.2354
MEM 334.718750 1706089572.3428
MEM 335.179688 1706089572.4473
MEM 335.269531 1706089572.5504
MEM 335.289062 1706089572.6572
MEM 335.402344 1706089572.7603
MEM 335.371094 1706089572.8630
MEM 335.371094 1706089572.9634
MEM 335.429688 1706089573.0679
MEM 335.429688 1706089573.1735
MEM 335.601562 1706089573.2768
MEM 335.613281 1706089573.3798
MEM 336.074219 1706089573.4817
MEM 336.074219 1706089573.5869
MEM 336.453125 1706089573.6889
MEM 336.773438 1706089573.7901
MEM 336.742188 1706089573.8928
MEM 336.839844 1706089573.9973
MEM 337.285156 1706089574.0977
MEM 337.371094 1706089574.1983
MEM 337.371094 1706089574.2991
MEM 337.371094 1706089574.4022
MEM 337.417969 1706089574.5026
MEM 337.417969 1706089574.6043
MEM 337.417969 1706089574.7115
MEM 337.621094 1706089574.8157
MEM 337.621094 1706089574.9202
MEM 337.691406 1706089575.0257
MEM 337.691406 1706089575.1283
MEM 338.027344 1706089575.2326
MEM 338.421875 1706089575.3359
MEM 338.464844 1706089575.4366
MEM 339.023438 1706089575.5386
MEM 339.031250 1706089575.6395
MEM 339.394531 1706089575.7422
MEM 339.464844 1706089575.8439
MEM 339.531250 1706089575.9442
MEM 339.531250 1706089576.0475
MEM 339.734375 1706089576.1505
MEM 339.734375 1706089576.2531
MEM 339.734375 1706089576.3572
MEM 339.734375 1706089576.4616
MEM 339.812500 1706089576.5667
MEM 339.843750 1706089576.6719
MEM 340.015625 1706089576.7786
MEM 340.347656 1706089576.8802
MEM 340.347656 1706089576.9847
MEM 340.761719 1706089577.0852
MEM 340.871094 1706089577.1874
MEM 341.312500 1706089577.2879
MEM 341.394531 1706089577.3888
MEM 341.367188 1706089577.4890
MEM 341.511719 1706089577.5893
MEM 341.511719 1706089577.6901
MEM 341.777344 1706089577.7946
MEM 341.777344 1706089577.8972
MEM 342.195312 1706089577.9979
MEM 342.347656 1706089578.1008
MEM 342.425781 1706089578.2026
MEM 342.734375 1706089578.3036
MEM 342.734375 1706089578.4043
MEM 343.085938 1706089578.5096
MEM 343.152344 1706089578.6122
MEM 343.660156 1706089578.7126
MEM 343.738281 1706089578.8155
MEM 343.707031 1706089578.9174
MEM 343.714844 1706089579.0184
MEM 343.714844 1706089579.1228
MEM 343.781250 1706089579.2282
MEM 344.183594 1706089579.3334
MEM 344.117188 1706089579.4373
MEM 344.308594 1706089579.5389
MEM 344.308594 1706089579.6393
MEM 344.593750 1706089579.7483
MEM 344.593750 1706089579.8488
MEM 345.140625 1706089579.9516
MEM 345.269531 1706089580.0568
MEM 345.292969 1706089580.1634
MEM 345.339844 1706089580.2637
MEM 345.394531 1706089580.3644
MEM 345.394531 1706089580.4652
MEM 345.503906 1706089580.5658
MEM 345.449219 1706089580.6663
MEM 345.667969 1706089580.7695
MEM 345.636719 1706089580.8713
MEM 345.933594 1706089580.9721
MEM 345.945312 1706089581.0771
MEM 346.207031 1706089581.1822
MEM 346.195312 1706089581.2824
MEM 346.660156 1706089581.3877
MEM 346.679688 1706089581.4915
MEM 346.972656 1706089581.5996
MEM 347.054688 1706089581.7034
MEM 347.347656 1706089581.8074
MEM 347.445312 1706089581.9083
MEM 347.414062 1706089582.0106
MEM 347.414062 1706089582.1141
MEM 347.445312 1706089582.2178
MEM 347.414062 1706089582.3183
MEM 347.585938 1706089582.4235
MEM 347.617188 1706089582.5271
MEM 347.781250 1706089582.6326
MEM 347.781250 1706089582.7334
MEM 348.382812 1706089582.8339
MEM 348.476562 1706089582.9347
MEM 348.843750 1706089583.0372
MEM 348.843750 1706089583.1419
MEM 349.304688 1706089583.2463
MEM 349.316406 1706089583.3474
MEM 349.671875 1706089583.4488
MEM 349.761719 1706089583.5508
MEM 349.730469 1706089583.6515
MEM 349.730469 1706089583.7567
MEM 349.734375 1706089583.8607
MEM 349.765625 1706089583.9676
MEM 349.890625 1706089584.0699
MEM 349.890625 1706089584.1724
MEM 350.039062 1706089584.2772
MEM 350.007812 1706089584.3850
MEM 350.007812 1706089584.4868
MEM 350.031250 1706089584.5912
MEM 350.441406 1706089584.6944
MEM 350.765625 1706089584.8038
MEM 350.734375 1706089584.9090
MEM 350.878906 1706089585.0108
MEM 351.199219 1706089585.1157
MEM 351.699219 1706089585.2173
MEM 351.738281 1706089585.3208
MEM 351.777344 1706089585.4222
MEM 351.777344 1706089585.5230
MEM 351.898438 1706089585.6272
MEM 351.871094 1706089585.7274
MEM 351.871094 1706089585.8317
MEM 351.980469 1706089585.9332
MEM 351.980469 1706089586.0334
MEM 352.132812 1706089586.1385
MEM 352.257812 1706089586.2396
MEM 352.503906 1706089586.3399
MEM 352.589844 1706089586.4451
MEM 353.042969 1706089586.5461
MEM 353.117188 1706089586.6478
MEM 353.234375 1706089586.7509
MEM 353.371094 1706089586.8562
MEM 353.625000 1706089586.9607
MEM 353.761719 1706089587.0611
MEM 353.730469 1706089587.1620
MEM 353.847656 1706089587.2649
MEM 354.039062 1706089587.3665
MEM 354.238281 1706089587.4694
MEM 354.550781 1706089587.5721
MEM 354.550781 1706089587.6773
MEM 354.839844 1706089587.7831
MEM 355.105469 1706089587.8837
MEM 355.074219 1706089587.9851
MEM 355.410156 1706089588.0903
MEM 355.519531 1706089588.1908
MEM 355.785156 1706089588.2919
MEM 355.957031 1706089588.3923
MEM 355.988281 1706089588.4945
MEM 356.023438 1706089588.6005
MEM 355.992188 1706089588.7021
MEM 356.007812 1706089588.8062
MEM 356.160156 1706089588.9108
MEM 356.343750 1706089589.0116
MEM 356.679688 1706089589.1157
MEM 356.710938 1706089589.2165
MEM 356.976562 1706089589.3198
MEM 357.257812 1706089589.4243
MEM 357.339844 1706089589.5273
MEM 357.890625 1706089589.6296
MEM 357.914062 1706089589.7349
MEM 357.914062 1706089589.8369
MEM 357.914062 1706089589.9385
MEM 357.914062 1706089590.0437
MEM 358.089844 1706089590.1461
MEM 358.402344 1706089590.2513
MEM 358.359375 1706089590.3543
MEM 358.359375 1706089590.4595
MEM 358.785156 1706089590.5626
MEM 359.039062 1706089590.6659
MEM 359.167969 1706089590.7671
MEM 359.644531 1706089590.8675
